"id","matcat_id","shape","geom1","geom2","geom3","descript","link","brand","model","svg","estimated_y","cost_unit","cost","active","label","node_type","acoeff"
"BOMBA",NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/bomba.svg",NULL,"u",NULL,True,NULL,"BOMBA",NULL
"CAMBRA",NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/cambra.svg",NULL,"u",NULL,True,NULL,"CAMBRA",NULL
"CAP",NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/cap.svg",NULL,"u",NULL,True,NULL,"CAP",NULL
"CEC",NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/cec.svg",NULL,"u",NULL,True,NULL,"CEC",NULL
"CNX",NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,"CNX","/svg/ud_svg/cnx.svg",NULL,"u",NULL,True,NULL,"AEU",NULL
"CRA",NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,"CRA","/svg/ud_svg/cra.svg",NULL,"u",NULL,True,NULL,"AEU",NULL
"CRED",NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,"CRED","/svg/ud_svg/cred.svg",NULL,"u",NULL,True,NULL,"AEU",NULL
"DEPURADORA",NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/depuradora.svg",NULL,"u",NULL,True,NULL,"DEPURADORA",NULL
"DESC","DESC","DESCONEGUT",0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/pou.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"DESC100x100-RE","DESC","RECTANGULAR",1.0,1.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"DESC120x90-RE","DESC","RECTANGULAR",1.2,0.9,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"DESC200x80-RE","DESC","RECTANGULAR",2.0,0.8,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"DESC30x30-RE","DESC","RECTANGULAR",0.3,0.3,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"DESC40x40-RE","DESC","RECTANGULAR",0.4,0.4,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"DESC50x37-RE","DESC","RECTANGULAR",0.5,0.37,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"DESC50x50-RE","DESC","RECTANGULAR",0.5,0.5,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"DESC60-CC","DESC","CIRCULAR",0.6,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/pou.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"DESC60x30-RE","DESC","RECTANGULAR",0.6,0.3,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"DESC60x60-RE","DESC","RECTANGULAR",0.6,0.6,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"DESCONEG",NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/desconeg.svg",NULL,"u",NULL,True,NULL,"DESCONEG",NULL
"EMD",NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/emd.svg",NULL,"u",NULL,True,NULL,"EMD",NULL
"FE","FE","DESCONEGUT",0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/pou.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"FE100-CC","FE","CIRCULAR",1.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/pou.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"FE100x100-RE","FE","RECTANGULAR",1.0,1.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"FE100x35-RE","FE","RECTANGULAR",1.0,0.35,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"FE100x50-RE","FE","RECTANGULAR",1.0,0.5,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"FE100x60-RE","FE","RECTANGULAR",1.0,0.6,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
