node_id,CONSUM,code
10,3480,PR0005291
10018,15639,PR0023125
1002,539,PR0024234
10020,15639,PR0023124
10022,112,PR0023123
10024,15639,PR0023122
10026,15639,PR0023121
10028,15639,PR0023120
10076,80,PR0023117
10077,183,PR0023118
10078,4464,PR0023116
10098,15639,PR0023113
101,71858,PR0024344
10100,15639,PR0023107
10102,582,PR0023111
10103,15639,PR0023112
10109,15639,PR0023110
10111,15639,PR0023109
10116,112,PR0023108
10122,15639,PR0023106
10124,15639,PR0023105
10126,15639,PR0023103
1013,80,PR0024233
10139,15639,PR0023102
10142,15639,PR0023101
10150,15639,PR0023099
10151,15639,PR0023100
10155,15639,PR0023098
10156,112,PR0023097
10159,112,PR0023096
10171,112,PR0023094
10172,112,PR0023095
10183,112,PR0023093
10186,112,PR0023091
10187,112,PR0023092
10189,112,PR0023090
1019,413,PR0024231
1020,15,PR0024232
10201,112,PR0023089
10203,112,PR0023088
10208,112,PR0023087
10217,112,PR0023086
10241,112,PR0023085
10242,15639,PR0023084
10246,15639,PR0023083
10248,15639,PR0023081
10249,15639,PR0023082
10255,48192,PR0023080
10256,48192,PR0023079
103,71858,PR0024343
10305,710,PR0023075
10307,48,PR0000424
10320,6890,PR0023074
1034,958,PR0024230
1035,958,PR0024229
1036,31,PR0024228
10368,34230,PR0023073
10369,105,PR0023072
10376,308,PR0023071
10378,116,PR0023070
10385,136,PR0023068
10386,136,PR0023069
10392,136,PR0023067
10394,8064,PR0023066
1040,33264,PR0024227
10404,8064,PR0023064
10405,8064,PR0023065
1041,228,PR0000469
10415,34230,PR0023063
10417,34230,PR0023062
10419,960,PR0023060
10420,30,PR0023061
10426,34230,PR0023059
10432,960,PR0023057
10433,112,PR0023058
10441,1710,PR0023055
10442,34230,PR0023056
10448,8064,PR0023053
10449,116,PR0023054
10455,0,PR0023052
10456,0,PR0023051
10459,258,PR0023050
10466,8064,PR0023048
10467,116,PR0023049
10475,0,PR0023046
10476,116,PR0023047
10487,116,PR0023045
10489,116,PR0023044
10490,0,PR0023043
10492,72,PR0023042
10503,258,PR0023041
10506,5665,PR0023039
10507,5665,PR0023040
10512,258,PR0023038
10514,258,PR0023037
10516,258,PR0023036
10526,258,PR0023035
10527,258,PR0023034
10529,116,PR0023032
10530,46,PR0023033
10537,258,PR0023031
10540,1,PR0023029
10541,116,PR0023030
10547,258,PR0023028
10549,0,PR0023027
10551,0,PR0023026
10556,0,PR0023025
10557,0,PR0023024
1056,128,PR0024226
10561,0,PR0023023
10567,0,PR0023021
10568,0,PR0023022
10573,34230,PR0023019
10574,34230,PR0023020
10577,66,PR0023018
10581,225,PR0023017
10608,225,PR0023016
10609,66,PR0023015
10611,6680,PR0023013
10612,6680,PR0023014
10615,960,PR0023012
10616,960,PR0023011
10618,8064,PR0023010
10619,8064,PR0023009
10621,8064,PR0023008
10624,8064,PR0023007
10625,8064,PR0023006
10626,136,PR0023005
10629,66,PR0023004
10631,66,PR0023003
10633,66,PR0023002
10634,66,PR0023001
10635,225,PR0023000
10637,225,PR0022998
10638,225,PR0022999
10658,960,PR0022997
10660,8064,PR0022996
10661,8064,PR0022995
10682,21,PR0022992
10684,72,PR0022991
10685,5665,PR0022990
10688,5665,PR0022989
10691,116,PR0022987
10692,46,PR0022988
107,216,PR0024342
10713,116,PR0022982
1072,8880,PR0024239
