code,node_id_old,node_id_new
PR0020497,29172,12396
PR0021103,17563,12366
PR0022774,12270,12289
PR0022335,15410,12342
PR0022334,15420,12343
PR0022008,17427,12363
PR0022039,17490,12365
PR0021997,17754,12368
PR0020523,28765,12392
PR0003538,2525,13361
PR0000108,47226,21335
PR0004310,46701,21099
PR0004302,46716,21114
PR0004497,27667,17363
PR0004440,27671,17364
PR0010463,52905,22381
PR0009334,34283,24079
PR0000012,47153,21272
PR0003489,27486,17234
PR0020126,18791,15634
PR0020512,28880,12394
PR0003983,26113,16569
PR0004673,26453,16840
PR0005044,26454,16841
PR0022686,12818,12307
PR0022629,13440,12319
PR0020487,29247,12398
PR0020454,30098,12401
PR0020103,42410,71
PR0001220,3559,13490
PR0023995,3629,13505
PR0023375,8465,14224
PR0022977,10741,14635
PR0022978,10742,14636
PR0020984,24908,16353
PR0004844,26301,16720
PR0000523,34355,18360
PR0005133,34356,18361
PR0010214,36717,18827
PR0023211,9651,12280
PR0022681,12898,12309
PR0022680,12902,12310
PR0022646,13183,12311
PR0020509,13189,12312
PR0022422,14945,12337
PR0004596,26469,16854
PR0004591,26470,16855
PR0004589,26472,16856
PR0010154,37476,18998
PR0003178,52316,22237
PR0009447,24297,23657
PR0003439,27484,17232
PR0004442,27701,17389
PR0004443,27702,17390
PR0004514,27703,17391
PR0023425,8154,12266
PR0023407,8267,12268
PR0004632,26505,16885
PR0022404,15068,12338
PR0021385,21919,12376
PR0021372,21994,12377
PR0021371,22003,12378
PR0020540,28649,12381
PR0030183,32443,12419
PR0023612,6611,12258
PR0023573,6885,12260
PR0021737,17441,12364
PR0024259,705,13124
PR0030362,732,13126
PR0001554,738,13128
PR0023996,3626,13504
PR0022997,10658,14622
PR0022996,10660,14623
PR0022963,10826,14647
PR0022835,11904,14762
PR0022819,12030,14775
PR0022704,12724,14879
PR0020493,29177,12397
PR0023512,7387,12262
PR0005042,26519,16897
PR0015096,41498,19964
PR0004621,26520,16898
PR0023415,8199,12267
PR0023312,8889,12271
PR0020814,9027,12272
PR0022703,12726,14880
PR0004164,39441,19423
PR0002532,43395,20356
PR0002564,43399,20359
PR0002595,43411,20369
PR0020513,28876,17642
PR0002655,37678,19062
PR0002733,37800,19075
PR0002866,37802,19077
PR0002864,37804,19079
PR0002702,37838,19104
PR0002759,41615,19997
PR0002758,41616,19998
PR0002749,41618,20000
PR0023285,9054,12273
PR0022694,12754,12306
PR0022683,12893,12308
PR0022421,14944,12336
PR0021542,20046,12375
PR0030182,32442,12418
PR0024254,791,13131
PR0024252,796,13133
PR0024234,1002,13148
PR0024222,1136,13164
PR0024221,1137,13165
PR0024210,1267,13179
PR0021123,1438,13226
PR0021122,1443,13227
PR0021121,1446,13228
PR0021120,1449,13229
PR0020558,1518,13237
PR0022700,3292,13464
PR0005258,3293,13465
PR0023556,6984,12261
PR0004622,26521,16899
PR0001300,3547,13488
PR0001299,3556,13489
PR0023997,3623,13503
PR0023961,3829,13537
PR0023960,3841,13538
PR0023959,3850,13539
PR0030348,3921,13556
PR0023815,5124,13705
PR0023814,5126,13706
PR0023813,5128,13707
PR0023685,6213,13880
PR0024253,794,13132
PR0024251,806,13134
PR0024249,816,13136
PR0004564,26546,16913
PR0004646,26547,16914
PR0004536,26568,16928
PR0030336,4482,13621
PR0023706,5817,13822
PR0023705,5819,13823
PR0023623,6550,13974
PR0023622,6555,13975
PR0023603,6662,13991
PR0023601,6666,13993
PR0023580,6849,14025
PR0023579,6852,14026
PR0023554,7007,14041
PR0023553,7021,14042
PR0023356,8624,14237
PR0023355,8625,14238
PR0023354,8639,14239
PR0001702,8701,14251
PR0023827,5097,13693
PR0023822,5112,13698
PR0023820,5116,13700
PR0001994,5134,13710
PR0023809,5139,13711
PR0004535,26570,16929
PR0004731,26625,16975
PR0020083,9450,14385
PR0020084,9453,14386
PR0022765,9465,14388
PR0023225,9589,14407
PR0023191,9742,14433
PR0023112,10103,14511
PR0023096,10159,14525
PR0023084,10242,14537
PR0023083,10246,14538
PR0023081,10248,14539
PR0023046,10475,14572
PR0023047,10476,14573
PR0023045,10487,14574
PR0023036,10516,14583
PR0022964,10824,14646
PR0004699,26667,17005
PR0004830,26685,17018
PR0020701,26848,17019
PR0004814,26688,17020
PR0004797,26707,17034
PR0004800,26709,17035
PR0004801,26710,17036
PR0004829,26726,17048
PR0002356,26753,17066
PR0022961,10828,14648
PR0022960,10847,14650
PR0022920,11039,14687
PR0022919,11045,14688
PR0022918,11046,14689
PR0022870,11499,14735
PR0022715,12663,14869
PR0022713,12671,14870
PR0022625,13504,14944
PR0022602,13652,14956
PR0001457,13726,14975
PR0022526,14274,14993
PR0002336,26771,17078
PR0023552,7035,14044
PR0023522,7252,14065
PR0023260,9388,14375
PR0023256,9407,14380
PR0023190,9744,14434
PR0023188,9748,14436
PR0030246,12437,14438
PR0022513,14339,14994
PR0022356,15271,15142
PR0022267,15858,15223
PR0022266,15859,15224
PR0015071,16087,15226
PR0022244,16305,15240
PR0011039,17270,15370
PR0022080,17301,15372
PR0022043,17467,15400
PR0022041,17471,15401
PR0030131,17865,15482
PR0030130,17866,15483
PR0030118,17892,15492
PR0030117,17893,15493
PR0022972,10768,14639
PR0022962,10829,14649
PR0004698,26773,17079
PR0002297,26774,17080
PR0002292,26775,17081
PR0050028,12068,14781
PR0022736,12527,14845
PR0022735,12538,14846
PR0021953,18192,15543
PR0021943,18293,15555
PR0021942,18297,15556
PR0021868,18707,15605
PR0021712,19403,15729
PR0021699,19451,15741
PR0021700,19452,15742
PR0021659,19585,15757
PR0021498,20243,15887
PR0021486,20363,15901
PR0021484,20378,15902
PR0021448,21071,15929
PR0002882,36380,18723
PR0030242,12859,14895
PR0022561,14077,14990
PR0022512,14340,14995
PR0022511,14341,14996
PR0002281,26811,17101
PR0020602,28137,17473
PR0020601,28138,17474
PR0021335,22092,16019
PR0021334,22096,16020
PR0005334,24417,16199
PR0004781,24419,16200
PR0005013,24445,16213
